0,0.97965
0.01,0.98031
0.02,0.9809
0.03,0.98145
0.04,0.98196
0.05,0.98244
0.06,0.98288
0.07,0.9833
0.08,0.9837
0.09,0.98409
0.1,0.98445
0.11,0.9848
0.12,0.98513
0.13,0.98545
0.14,0.98576
0.15,0.98606
0.16,0.98635
0.17,0.98663
0.18,0.9869
0.19,0.98717
0.2,0.98743
0.21,0.98768
0.22,0.98792
0.23,0.98816
0.24,0.98839
0.25,0.98862
0.26,0.98885
0.27,0.98907
0.28,0.98929
0.29,0.98956
0.3,0.99045
0.31,0.99144
0.32,0.99241
0.33,0.99336
0.34,0.99428
0.35,0.99519
0.36,0.99609
0.37,0.99696
0.38,0.99782
0.39,0.99865
0.4,0.99948
0.41,1.0003
0.42,1.0011
0.43,1.0018
0.44,1.0026
0.45,1.0033
0.46,1.0041
0.47,1.0048
0.48,1.0055
0.49,1.0062
0.5,1.0068
0.51,1.0075
0.52,1.0081
0.53,1.0087
0.54,1.0093
0.55,1.0099
0.56,1.0105
0.57,1.0111
0.58,1.0116
0.59,1.0121
0.6,1.0127
0.61,1.0132
0.62,1.0137
0.63,1.0142
0.64,1.0146
0.65,1.0151
0.66,1.0155
0.67,1.0159
0.68,1.0163
0.69,1.0166
0.7,1.017
0.71,1.0173
0.72,1.0176
0.73,1.0179
0.74,1.0182
0.75,1.0184
0.76,1.0186
0.77,1.0188
0.78,1.0189
0.79,1.0191
0.8,1.0192
0.81,1.0193
0.82,1.0194
0.83,1.0194
0.84,1.0194
0.85,1.0193
0.86,1.0193
0.87,1.0191
0.88,1.0189
0.89,1.0187
0.9,1.0184
0.91,1.018
0.92,1.0176
0.93,1.017
0.94,1.0163
0.95,1.0155
0.96,1.0144
0.97,1.0131
0.98,1.0113
0.99,1.0087
