0,0.97965
0.01,0.98031
0.02,0.9809
0.03,0.98145
0.04,0.98196
0.05,0.98244
0.06,0.98288
0.07,0.9833
0.08,0.9837
0.09,0.98409
0.1,0.98445
0.11,0.9848
0.12,0.98513
0.13,0.98545
0.14,0.98576
0.15,0.98606
0.16,0.98635
0.17,0.98663
0.18,0.98691
0.19,0.98717
0.2,0.98743
0.21,0.98768
0.22,0.98792
0.23,0.98816
0.24,0.98839
0.25,0.98862
0.26,0.98885
0.27,0.98907
0.28,0.98929
0.29,0.98955
0.3,0.99042
0.31,0.99139
0.32,0.99235
0.33,0.99328
0.34,0.9942
0.35,0.9951
0.36,0.99598
0.37,0.99684
0.38,0.99768
0.39,0.99851
0.4,0.99932
0.41,1.0001
0.42,1.0009
0.43,1.0017
0.44,1.0024
0.45,1.0031
0.46,1.0038
0.47,1.0045
0.48,1.0052
0.49,1.0059
0.5,1.0065
0.51,1.0072
0.52,1.0078
0.53,1.0084
0.54,1.009
0.55,1.0096
0.56,1.0102
0.57,1.0107
0.58,1.0113
0.59,1.0118
0.6,1.0123
0.61,1.0128
0.62,1.0133
0.63,1.0137
0.64,1.0142
0.65,1.0146
0.66,1.015
0.67,1.0154
0.68,1.0158
0.69,1.0161
0.7,1.0165
0.71,1.0168
0.72,1.0171
0.73,1.0174
0.74,1.0177
0.75,1.0179
0.76,1.0182
0.77,1.0184
0.78,1.0185
0.79,1.0187
0.8,1.0188
0.81,1.0189
0.82,1.019
0.83,1.019
0.84,1.019
0.85,1.019
0.86,1.019
0.87,1.0188
0.88,1.0187
0.89,1.0185
0.9,1.0182
0.91,1.0178
0.92,1.0174
0.93,1.0169
0.94,1.0163
0.95,1.0155
0.96,1.0145
0.97,1.0133
0.98,1.0116
0.99,1.0091
