0,0,0.787
0,0.01,0.7881
0,0.02,0.7892
0,0.03,0.79028
0,0.04,0.79136
0,0.05,0.79244
0,0.06,0.79351
0,0.07,0.79458
0,0.08,0.79565
0,0.09,0.79673
0,0.1,0.79782
0,0.11,0.79893
0,0.12,0.80008
0,0.13,0.8013
0,0.14,0.80266
0,0.15,0.80436
0,0.16,0.80718
0,0.17,0.81412
0,0.18,0.82709
0,0.19,0.84219
0,0.2,0.85767
0,0.21,0.87313
0,0.22,0.88848
0,0.23,0.90368
0,0.24,0.91873
0,0.25,0.93362
0,0.26,0.94836
0,0.27,0.96296
0,0.28,0.97743
0,0.29,0.99177
0,0.3,1.006
0,0.31,1.0201
0,0.32,1.0341
0,0.33,1.048
0,0.34,1.0618
0,0.35,1.0755
0,0.36,1.0892
0,0.37,1.1027
0,0.38,1.1162
0,0.39,1.1296
0,0.4,1.143
0,0.41,1.1563
0,0.42,1.1695
0,0.43,1.1827
0,0.44,1.1958
0,0.45,1.2089
0,0.46,1.2219
0,0.47,1.2349
0,0.48,1.2478
0,0.49,1.2608
0,0.5,1.2736
0,0.51,1.2865
0,0.52,1.2993
0,0.53,1.3121
0,0.54,1.3249
0,0.55,1.3376
0,0.56,1.3503
0,0.57,1.363
0,0.58,1.3757
0,0.59,1.3884
0,0.6,1.4011
0,0.61,1.4138
0,0.62,1.4264
0,0.63,1.4391
0,0.64,1.4518
0,0.65,1.4644
0,0.66,1.4771
0,0.67,1.4898
0,0.68,1.5025
0,0.69,1.5152
0,0.7,1.528
0,0.71,1.5407
0,0.72,1.5535
0,0.73,1.5663
0,0.74,1.5792
0,0.75,1.5921
0,0.76,1.605
0,0.77,1.618
0,0.78,1.6311
0,0.79,1.6442
0,0.8,1.6574
0,0.81,1.6706
0,0.82,1.6839
0,0.83,1.6973
0,0.84,1.7108
0,0.85,1.7244
0,0.86,1.7382
0,0.87,1.752
0,0.88,1.766
0,0.89,1.7801
0,0.9,1.7943
0,0.91,1.8087
0,0.92,1.8233
0,0.93,1.8381
0,0.94,1.853
0,0.95,1.8682
0,0.96,1.8836
0,0.97,1.8992
0,0.98,1.9151
0,0.99,1.9312
0.01,0,0.7881
0.01,0.01,0.78919
0.01,0.02,0.79026
0.01,0.03,0.79133
0.01,0.04,0.79239
0.01,0.05,0.79345
0.01,0.06,0.79451
0.01,0.07,0.79558
0.01,0.08,0.79664
0.01,0.09,0.79772
0.01,0.1,0.79882
0.01,0.11,0.79995
0.01,0.12,0.80115
0.01,0.13,0.80247
0.01,0.14,0.80408
0.01,0.15,0.80661
0.01,0.16,0.81254
0.01,0.17,0.82464
0.01,0.18,0.83942
0.01,0.19,0.85472
0.01,0.2,0.87005
0.01,0.21,0.88527
0.01,0.22,0.90035
0.01,0.23,0.91528
0.01,0.24,0.93006
0.01,0.25,0.94469
0.01,0.26,0.95918
0.01,0.27,0.97354
0.01,0.28,0.98777
0.01,0.29,1.0019
0.01,0.3,1.0159
0.01,0.31,1.0298
0.01,0.32,1.0436
0.01,0.33,1.0573
0.01,0.34,1.0709
0.01,0.35,1.0844
0.01,0.36,1.0979
0.01,0.37,1.1112
0.01,0.38,1.1246
0.01,0.39,1.1378
0.01,0.4,1.151
0.01,0.41,1.1641
0.01,0.42,1.1772
0.01,0.43,1.1902
0.01,0.44,1.2031
0.01,0.45,1.2161
0.01,0.46,1.2289
0.01,0.47,1.2418
0.01,0.48,1.2546
0.01,0.49,1.2673
0.01,0.5,1.2801
0.01,0.51,1.2928
0.01,0.52,1.3054
0.01,0.53,1.3181
0.01,0.54,1.3307
0.01,0.55,1.3433
0.01,0.56,1.3559
0.01,0.57,1.3685
0.01,0.58,1.3811
0.01,0.59,1.3936
0.01,0.6,1.4062
0.01,0.61,1.4187
0.01,0.62,1.4312
0.01,0.63,1.4438
0.01,0.64,1.4563
0.01,0.65,1.4689
0.01,0.66,1.4814
0.01,0.67,1.494
0.01,0.68,1.5066
0.01,0.69,1.5192
0.01,0.7,1.5318
0.01,0.71,1.5444
0.01,0.72,1.5571
0.01,0.73,1.5698
0.01,0.74,1.5826
0.01,0.75,1.5953
0.01,0.76,1.6082
0.01,0.77,1.621
0.01,0.78,1.634
0.01,0.79,1.6469
0.01,0.8,1.66
0.01,0.81,1.6731
0.01,0.82,1.6863
0.01,0.83,1.6996
0.01,0.84,1.713
0.01,0.85,1.7265
0.01,0.86,1.7401
0.01,0.87,1.7538
0.01,0.88,1.7676
0.01,0.89,1.7816
0.01,0.9,1.7957
0.01,0.91,1.81
0.01,0.92,1.8245
0.01,0.93,1.8391
0.01,0.94,1.8539
0.01,0.95,1.869
0.01,0.96,1.8842
0.01,0.97,1.8997
0.01,0.98,1.9154
0.01,0.99,1.9314
0.02,0,0.7892
0.02,0.01,0.79026
0.02,0.02,0.79132
0.02,0.03,0.79237
0.02,0.04,0.79342
0.02,0.05,0.79447
0.02,0.06,0.79552
0.02,0.07,0.79658
0.02,0.08,0.79765
0.02,0.09,0.79873
0.02,0.1,0.79985
0.02,0.11,0.80102
0.02,0.12,0.80231
0.02,0.13,0.80386
0.02,0.14,0.80617
0.02,0.15,0.81132
0.02,0.16,0.82253
0.02,0.17,0.83697
0.02,0.18,0.85209
0.02,0.19,0.86727
0.02,0.2,0.88236
0.02,0.21,0.89732
0.02,0.22,0.91213
0.02,0.23,0.92679
0.02,0.24,0.9413
0.02,0.25,0.95568
0.02,0.26,0.96992
0.02,0.27,0.98404
0.02,0.28,0.99804
0.02,0.29,1.0119
0.02,0.3,1.0257
0.02,0.31,1.0394
