T,M,U,Y1,Y2,Z1,Z2,R1,R2,EOLD1,EOLD2,E1,E2
499.99,0,0.0830406915384904,3.09224078736553,-0.21408407721065,10.1975805769065,-0.575846647988898,-2.99999999729315,-0.15,-0.0362401742751515,-0.36408407721065,0.0922407900723803,-0.36408407721065
500,1,-0.202979875628102,2.96162355992981,-0.205844205386434,10.1998865966583,-0.581769283657022,-2.99672618779181,-0.15,0.0922407900723803,-0.36408407721065,-0.0351026278619972,-0.355844205386434
500.01,0,0.115564890173589,3.05928130006867,-0.201266498817425,10.1990090309618,-0.554291999861723,-2.97185723411793,-0.15,-0.0351026278619972,-0.355844205386434,0.0874240659507377,-0.351266498817425
500.02,0,-0.158746213011315,2.93690394445716,-0.213168535896848,10.2011946326105,-0.559637178994862,-2.94719466061283,-0.15,0.0874240659507377,-0.351266498817425,-0.0102907161556658,-0.363168535896848
500.03,1,-0.0873609210947441,2.94605935759518,-0.218356603341725,10.2009373647066,-0.539328292287694,-2.92273675458816,-0.15,-0.0102907161556658,-0.363168535896848,0.0233226030070228,-0.368356603341725
500.04,1,0.165375434179111,3.02235446707866,-0.216525520714121,10.2015204297818,-0.528425944635901,-2.89848181756825,-0.15,0.0233226030070228,-0.368356603341725,0.123872649510411,-0.366525520714121
500.05,1,0.136036703935373,3.00434882124056,-0.229953459983214,10.2046172460196,-0.544092163705174,-2.87442816517273,-0.15,0.123872649510411,-0.366525520714121,0.129920656067825,-0.379953459983214
500.06,0,0.292652843371092,3.03303578240635,-0.218966964217593,10.2078652624213,-0.560842426107337,-2.85057412699941,-0.15,0.129920656067825,-0.379953459983214,0.182461655406934,-0.368966964217593
500.07,0,0.489594876067106,3.10963607232776,-0.232089723048752,10.2124268038064,-0.590768779041206,-2.82691804650828,-0.15,0.182461655406934,-0.368966964217593,0.282718025819488,-0.382089723048752
500.08,1,0.415100826254999,3.04982070649271,-0.222934309910734,10.2194947544519,-0.645901267493502,-2.80345828090644,-0.15,0.282718025819488,-0.382089723048752,0.246362425586269,-0.372934309910734
500.09,0,0.104472151541142,2.98115510795758,-0.286106660563059,10.2256538150916,-0.689815267678327,-2.78019320103397,-0.15,0.246362425586269,-0.372934309910734,0.200961906923608,-0.436106660563059
500.1,0,0.174865191744107,2.94453345540551,-0.249179827573052,10.2306778627647,-0.72050501487292,-2.75712119125123,-0.15,0.200961906923608,-0.436106660563059,0.187412264154283,-0.399179827573052
500.11,1,0.244602657837668,2.9552147707332,-0.251010910200657,10.2353631693685,-0.746694252706128,-2.7342406493259,-0.15,0.187412264154283,-0.399179827573052,0.220974121407298,-0.401010910200657
