T,M,U,Y1,Y2,Z1,Z2,R1,R2,EOLD1,EOLD2,E1,E2
499.99,0,-0.157310580504208,3.14259555962463,-0.268711375600825,10.0661523220284,-0.708649156517609,-2.99999999729315,-0.2,0.17433432801539,-0.397909514000152,0.142595562331478,-0.468711375600825
500,1,-0.157310580504208,3.10200656137942,-0.277256427862975,10.0697172110867,-0.723522794487722,-2.99672618779181,-0.2,0.142595562331478,-0.468711375600825,0.105280373587609,-0.477256427862975
500.01,0,-0.277091801859023,3.11482413977264,-0.307774471656368,10.0697172110867,-0.723522794487722,-2.97185723411793,-0.2,0.142595562331478,-0.468711375600825,0.142966905654712,-0.507774471656367
500.02,0,0.00199165114920574,3.16609445334554,-0.275120164797437,10.0732913837281,-0.738024863608701,-2.94719466061283,-0.2,0.142966905654712,-0.507774471656367,0.218899792732714,-0.475120164797437
500.03,1,0.00199165114920574,3.10109102006561,-0.273594262607768,10.0787638785464,-0.771874840878159,-2.92273675458816,-0.2,0.218899792732714,-0.475120164797437,0.178354265477458,-0.473594262607768
500.04,1,0.00199165114920574,3.08674753948272,-0.269932097352561,10.0787638785464,-0.771874840878159,-2.89848181756825,-0.2,0.218899792732714,-0.475120164797437,0.188265721914469,-0.469932097352561
500.05,1,0.00199165114920574,3.09437705043107,-0.2729839017319,10.0787638785464,-0.771874840878159,-2.87442816517273,-0.2,0.218899792732714,-0.475120164797437,0.219948885258334,-0.4729839017319
500.06,0,0.172455849005587,3.09102006561379,-0.233005264362554,10.0787638785464,-0.771874840878159,-2.85057412699941,-0.2,0.218899792732714,-0.475120164797437,0.24044593861438,-0.433005264362554
500.07,0,0.26295342014165,3.15480277714198,-0.270542458228428,10.0847750270118,-0.810278379165256,-2.82691804650828,-0.2,0.24044593861438,-0.433005264362554,0.327884730633709,-0.470542458228428
500.08,1,0.26295342014165,3.20088502327001,-0.265964751659419,10.0929721452776,-0.870278028323182,-2.80345828090644,-0.2,0.327884730633709,-0.470542458228428,0.397426742363563,-0.465964751659419
500.09,0,0.44633629607447,3.14290074006256,-0.23270008392462,10.0929721452776,-0.870278028323182,-2.78019320103397,-0.2,0.327884730633709,-0.470542458228428,0.36270753902859,-0.43270008392462
500.1,0,0.351261891953911,3.16700999465934,-0.29709315632868,10.1020398337533,-0.937470482245089,-2.75712119125123,-0.2,0.36270753902859,-0.43270008392462,0.409888803408116,-0.49709315632868
500.11,1,0.351261891953911,3.14076447699702,-0.307469291218434,10.1122870538385,-1.01485251685952,-2.7342406493259,-0.2,0.409888803408116,-0.49709315632868,0.406523827671125,-0.507469291218434
500.12,1,0.351261891953911,3.0965133134966,-0.402685587853819,10.1122870538385,-1.01485251685952,-2.71154998632227,-0.2,0.409888803408116,-0.49709315632868,0.38496332717433,-0.602685587853819
500.13,0,0.0195273999004452,3.1126878767071,-0.412451361867705,10.1122870538385,-1.01485251685952,-2.68904762649075,-0.2,0.409888803408116,-0.49709315632868,0.423640250216356,-0.612451361867705
500.14,1,0.0195273999004452,3.08216983291371,-0.423437857633326,10.1228780600939,-1.09338414507587,-2.66673200715839,-0.2,0.423640250216356,-0.612451361867705,0.415437825755315,-0.623437857633326
500.15,1,0.0195273999004452,3.07026779583429,-0.423437857633326,10.1228780600939,-1.09338414507587,-2.64460157862034,-0.2,0.423640250216356,-0.612451361867705,0.425666217213947,-0.623437857633326
500.16,1,0.0195273999004452,3.08979934386206,-0.442969405661097,10.1228780600939,-1.09338414507587,-2.62265480403262,-0.2,0.423640250216356,-0.612451361867705,0.467144539829436,-0.642969405661097
500.17,1,0.0195273999004452,3.13282978561074,-0.444800488288701,10.1228780600939,-1.09338414507587,-2.60089015930473,-0.2,0.423640250216356,-0.612451361867705,0.531939626306012,-0.644800488288701
500.18,0,0.0993898155412605,3.07240405889982,-0.435645075150683,10.1228780600939,-1.09338414507587,-2.57930613299425,-0.2,0.423640250216356,-0.612451361867705,0.493097925905572,-0.635645075150683
500.19,0,0.265412470095262,3.13038834210727,-0.436865796902419,10.1352055082416,-1.18755832315165,-2.5579012262018,-0.2,0.493097925905572,-0.635645075150683,0.572487115905471,-0.636865796902419
500.2,0,0.199261957159334,3.08766308079652,-0.43228809033341,10.1495176861392,-1.29947272673473,-2.53667395246691,-0.2,0.572487115905471,-0.636865796902419,0.55098912832961,-0.63228809033341
