0,9.92e-07,9.59e-07,9.68e-07,9.81e-07,1.015e-06,1.001e-06,9.86e-07,9.87e-07,1.028e-06,9.97e-07,9.97e-07,9.8e-07,9.59e-07,9.63e-07,9.29e-07
1,2.816e-06,9.13e-07,8.97e-07,8.97e-07,8.96e-07,9.06e-07,8.96e-07,9.06e-07,9.21e-07,9.11e-07,9.08e-07,9.13e-07,9.08e-07,9.09e-07,9.08e-07
2,3.061e-06,2.78e-06,8.98e-07,8.89e-07,8.91e-07,8.96e-07,9.01e-07,9.09e-07,9.16e-07,9.09e-07,9.06e-07,9.13e-07,9.09e-07,9.07e-07,9.07e-07
3,3.02e-06,2.823e-06,2.743e-06,8.86e-07,8.89e-07,9.05e-07,9.08e-07,9.45e-07,9.1e-07,9.06e-07,9.06e-07,9.13e-07,9.09e-07,9.08e-07,9.04e-07
4,3.233e-06,3.341e-06,3.005e-06,2.841e-06,8.99e-07,9.11e-07,9.09e-07,9.09e-07,9.1e-07,9.04e-07,1.022e-06,9.13e-07,9.08e-07,9.06e-07,9.06e-07
5,3.503e-06,3.776e-06,3.45e-06,2.972e-06,2.943e-06,9.13e-07,9.05e-07,9.9e-07,9.22e-07,1.012e-06,9.53e-07,1.024e-06,1.008e-06,9.05e-07,9.08e-07
6,3.892e-06,4.281e-06,4.32e-06,3.52e-06,3.068e-06,2.998e-06,1.048e-06,9.88e-07,1.016e-06,9.6e-07,9.11e-07,9.57e-07,9.55e-07,9.04e-07,9.07e-07
7,4.273e-06,6.942e-06,7.214e-06,5.157e-06,3.751e-06,3.203e-06,3.124e-06,9.13e-07,9.31e-07,9.11e-07,9.09e-07,9.12e-07,9.13e-07,9.05e-07,9.06e-07
8,4.655e-06,7.761e-06,8.181e-06,7.897e-06,6.701e-06,3.907e-06,3.336e-06,3.151e-06,9.15e-07,9.09e-07,9.1e-07,9.12e-07,9.11e-07,9.05e-07,9.06e-07
9,5.172e-06,8.44e-06,9.256e-06,9.171e-06,8.04e-06,7.016e-06,6.085e-06,3.393e-06,3.25e-06,9.07e-07,9.1e-07,9.07e-07,9.1e-07,9.06e-07,9.85e-07
10,7.67e-06,9.099e-06,1.0483e-05,1.0835e-05,1.0013e-05,8.406e-06,7.142e-06,6.241e-06,5.638e-06,5.46e-06,9.07e-07,9.08e-07,9.09e-07,9.06e-07,9.82e-07
11,8.17e-06,1.0178e-05,1.1734e-05,1.2796e-05,1.2111e-05,1.0336e-05,8.7755e-06,7.452e-06,6.384e-06,5.741e-06,5.549e-06,9.09e-07,9.09e-07,1.011e-06,9.14e-07
12,8.745e-06,1.1148e-05,1.3243e-05,1.4946e-05,1.4644e-05,1.2753e-05,1.1166e-05,9.336e-06,7.75e-06,6.631e-06,5.9e-06,5.671e-06,9.09e-07,9.55e-07,9.13e-07
13,9.34e-06,1.2154e-05,1.4822e-05,1.6832e-05,1.7443e-05,1.5708e-05,1.444e-05,1.2073e-05,9.912e-06,8.037e-06,6.847e-06,6.127e-06,5.767e-06,9.14e-07,9.13e-07
14,9.875e-06,1.3302e-05,1.6571e-05,1.9838e-05,2.0277e-05,1.9311e-05,1.8994e-05,1.6029e-05,1.3309e-05,1.0625e-05,8.56e-06,7.259e-06,6.223e-06,5.938e-06,9.13e-07
15,1.0774e-05,1.4566e-05,1.8188e-05,2.463e-05,2.6351e-05,2.5969e-05,2.6869e-05,2.0908e-05,1.7308e-05,1.4222e-05,1.1303e-05,9.451e-06,7.48e-06,6.461e-06,6.118e-06
16,1.1517e-05,1.6046e-05,2.0478e-05,2.7185e-05,2.8926e-05,3.0141e-05,3.2812e-05,3.0246e-05,2.3204e-05,1.9105e-05,1.5329e-05,1.2972e-05,9.917e-06,7.848e-06,6.718e-06
17,1.2294e-05,1.7412e-05,2.5092e-05,2.9937e-05,3.2922e-05,3.5584e-05,3.9547e-05,3.8575e-05,3.3186e-05,2.5847e-05,2.1072e-05,1.8112e-05,1.3637e-05,1.0374e-05,0.0013466
18,1.3131e-05,1.8969e-05,2.7218e-05,3.0705e-05,3.5807e-05,4.0149e-05,4.6066e-05,4.7096e-05,4.3681e-05,3.7965e-05,2.8539e-05,2.5525e-05,1.9162e-05,1.4652e-05,0.0024639
19,1.4062e-05,2.0486e-05,2.9813e-05,3.4461e-05,3.9833e-05,4.4733e-05,5.2711e-05,5.7166e-05,5.5152e-05,4.9213e-05,4.221e-05,3.5198e-05,2.7215e-05,2.1439e-05,0.0043511
20,1.4745e-05,2.231e-05,3.2251e-05,3.7372e-05,4.4188e-05,5.0223e-05,6.0227e-05,6.681e-05,6.8386e-05,6.179e-05,5.4582e-05,5.1331e-05,3.7309e-05,0.014165,0.0071904
21,1.6221e-05,2.4401e-05,3.264e-05,4.0838e-05,4.8504e-05,5.5223e-05,6.8125e-05,7.6782e-05,8.1646e-05,7.6829e-05,6.8798e-05,6.7241e-05,5.4656e-05,0.02162,0.011297
22,1.7619e-05,2.6527e-05,3.6556e-05,4.4974e-05,5.3883e-05,6.1512e-05,7.5941e-05,8.7771e-05,9.5191e-05,9.3545e-05,8.7393e-05,8.5387e-05,7.0814e-05,0.030446,0.016623
23,1.8935e-05,3.1075e-05,3.904e-05,4.8938e-05,5.8292e-05,6.803e-05,8.5076e-05,9.8694e-05,0.00011097,0.0001119,0.00010829,0.00010826,0.056816,0.041535,0.023688
24,2.0179e-05,3.1996e-05,4.1984e-05,5.2174e-05,6.3368e-05,7.453e-05,9.3916e-05,0.00011058,0.00012662,0.00013087,0.00013043,0.00013636,0.071784,0.055368,0.03286
