1.0,0.4724,1.0274,1.1723,1.1056,1.2233,1.3172,1.4362,1.5763,1.6937,1.8494,2.3001
2.0,0.4392,0.4385,1.0,1.1218,1.199,1.5279,1.5843,2.0656,2.2096,2.4581,2.766
3.0,0.4396,0.435,0.4327,1.0903,1.0642,1.2136,1.5462,1.9868,2.3813,2.7542,3.2085
4.0,0.4431,0.3907,0.4368,0.4248,1.0371,1.1218,1.1921,1.8411,2.2007,2.7652,3.2888
5.0,0.4405,0.4326,0.4326,0.43,0.447,1.0775,1.1275,1.323,1.9047,2.3262,3.0295
6.0,0.4408,0.4379,0.4422,0.4136,0.3914,0.3894,1.0989,1.2109,1.3983,2.0323,2.5581
7.0,0.441,0.4396,0.4253,0.4356,0.3908,0.4093,0.415,1.1433,1.2444,1.8606,2.2508
8.0,0.4357,0.436,0.495,0.4394,0.392,0.422,0.4259,0.4945,1.2043,1.3299,1.9264
9.0,0.4438,0.5008,0.414,0.3987,0.3978,0.4832,0.4351,0.4318,0.4444,1.2423,1.6996
10.0,0.4973,0.449,0.4291,0.4417,0.4227,0.3976,0.4347,0.4342,0.431,0.4603,1.5902
