10,2.408e-05,1.0607e-05,4.5926e-05
11,3.4033e-05,9.8403e-06,9.0069e-05
12,6.2154e-05,1.2661e-05,0.00019074
13,0.00012771,1.3691e-05,0.00038265
14,0.0002495,1.2875e-05,0.00071272
15,0.00047798,2.5157e-05,0.0015962
16,0.00086871,1.7196e-05,0.0031204
17,0.0025867,6.7437e-05,0.0079927
18,0.0037927,2.5724e-05,0.015212
19,0.006404,2.422e-05,0.029322
20,0.017076,3.0606e-05,0.046591
21,0.029076,4.7635e-05,0.16497
22,0.092194,2.593e-05,0.35905
23,0.21371,0.00028502,0.80029
24,0.56104,4.9069e-05,2.2803
25,1.0608,0.00031882,4.3465
26,1.6713,0.00032653,7.378
27,3.8922,8.7665e-05,18.779
28,8.3051,0.00028031,34.157
29,17.052,8.8243e-05,83.57
30,67.732,0.0055544,330.28
