1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.0,0.8149,0.6145,1.0,1.5803,2.2924,3.1316,4.0971,5.1934,6.4156,7.7676,9.2409
3.0,0.1906,0.7464,1.7449,3.3318,5.6354,8.7818,12.9172,18.1316,24.6058,32.4357,41.7854
4.0,0.1906,0.9611,2.7008,6.0454,11.7031,20.5343,33.5431,51.8323,76.6179,109.3775,151.567
5.0,0.1906,1.1579,3.8766,9.9346,21.6818,42.3715,76.1676,128.367,205.827,316.7685,471.6207
6.0,0.1908,1.3661,5.2474,15.211,37.0257,79.6625,156.3761,286.3934,496.8228,825.0972,1323.4931
7.0,0.1908,1.5761,6.8363,22.0853,59.3189,139.5182,297.8253,591.3381,1110.9877,1999.3831,3489.111
8.0,0.1909,1.7853,8.6384,30.8091,90.4312,231.1586,535.0731,1152.1069,2353.6307,4659.7569,9206.9221
9.0,0.1911,1.9947,10.6469,41.5572,132.4357,366.5556,918.7488,2151.3357,4869.2085,11122.5245,29251.3418
10.0,0.1913,2.2043,12.8709,54.553,187.8833,560.8921,1522.58,3915.4174,10150.2252,31501.018,107616.1392
