1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.0,0.3996,0.3679,1.0,1.6115,2.8473,4.7028,7.7989,12.7509,20.7979,33.8093,54.9734
3.0,0.3561,0.3583,0.3575,1.3782,2.3823,4.391,8.4121,15.4493,28.5257,52.7549,97.3892
4.0,0.3548,0.3563,0.3549,0.3544,1.766,3.155,5.9386,11.5037,22.6548,43.6048,84.3298
5.0,0.3545,0.3562,0.3557,0.3552,0.3546,2.1542,3.9307,7.4893,14.6101,28.8766,57.5158
6.0,0.3535,0.3568,0.3564,0.3556,0.3552,0.3544,2.544,4.7072,9.0433,17.73,35.1249
7.0,0.3537,0.3576,0.357,0.3563,0.3559,0.3556,0.3545,2.9321,5.4882,10.6086,20.8618
8.0,0.3541,0.358,0.3574,0.357,0.3568,0.3558,0.3553,0.3546,3.324,6.2737,12.1773
9.0,0.3543,0.3585,0.3582,0.3579,0.357,0.3564,0.3559,0.3553,0.3546,3.7182,7.0502
10.0,0.3543,0.3593,0.3591,0.3581,0.3575,0.3572,0.3566,0.3563,0.3559,0.3548,4.1083
