1.0,0.381,0.8056,0.8746,0.9704,1.0062,1.0569,1.1389,1.1437,1.2459,1.3026,1.4591
2.0,0.3665,0.8078,1.0,1.1089,1.3826,1.5882,1.8692,2.196,2.7566,3.0692,3.4655
3.0,0.3877,0.8994,1.0889,1.537,2.0537,2.9607,3.8774,5.157,6.6399,8.6727,10.7907
4.0,0.3712,0.9771,1.3822,2.1127,3.3059,5.3456,8.1541,12.0444,17.6299,25.2514,34.8457
5.0,0.3669,1.0301,1.592,2.8309,5.1252,9.3614,16.1167,26.9832,44.6763,69.2286,103.7681
6.0,0.3898,1.0943,1.902,3.7324,7.9626,15.8461,30.7922,57.4172,102.5955,175.5937,287.4987
7.0,0.3659,1.1359,2.1578,4.9442,13.5187,26.4199,56.5334,116.7497,228.0712,415.7515,720.7495
8.0,0.3855,1.1659,2.5675,6.2671,16.6045,42.2079,99.6041,224.4837,462.854,904.6626,1685.7931
9.0,0.3746,1.2439,2.8502,8.0869,23.3191,65.5985,169.5778,410.3353,900.2066,1854.6145,3687.3758
10.0,0.4084,1.3511,3.2582,10.0316,32.785,98.5731,276.7311,699.2336,1658.3628,3601.5889,8125.4557
